event_name,source_layer,definition_column,operator,threshold,horizon,event_onsets,event_observations,all_observations,non_event_observations,event_mean_return_pct,event_median_return_pct,event_positive_share_pct,all_mean_return_pct,non_event_mean_return_pct,event_minus_all_pp,event_minus_non_event_pp
technical_drawdown_ge_5,Technical Intelligence v1,technical_drawdown_pct,le,-5.0,1D,25,25,1916,1251,0.38972674754746306,0.34102225843584133,72.0,0.0674342662570901,0.06313504408264885,0.32229248129037297,0.3265917034648142
technical_drawdown_ge_5,Technical Intelligence v1,technical_drawdown_pct,le,-5.0,5D,25,25,1916,1251,0.5958011388526061,0.6247677184111344,64.0,0.320000473351726,0.28835107902904944,0.27580066550088017,0.30745005982355667
technical_drawdown_ge_5,Technical Intelligence v1,technical_drawdown_pct,le,-5.0,20D,25,25,1916,1251,1.4172635423888638,4.522879643472133,72.0,1.2490521210799301,1.052013884719552,0.16821142130893363,0.36524965766931183
technical_drawdown_ge_10,Technical Intelligence v1,technical_drawdown_pct,le,-10.0,1D,10,10,1916,1516,-0.4717702782433286,-0.3502219728727274,50.0,0.0674342662570901,0.06125532059763568,-0.5392045445004188,-0.5330255988409643
technical_drawdown_ge_10,Technical Intelligence v1,technical_drawdown_pct,le,-10.0,5D,10,10,1916,1516,0.3241221562285723,-0.3155860192807003,50.0,0.320000473351726,0.2840804538664168,0.004121682876846331,0.04004170236215554
technical_drawdown_ge_10,Technical Intelligence v1,technical_drawdown_pct,le,-10.0,20D,10,10,1916,1516,1.180435662410524,4.584465725926945,60.0,1.2490521210799301,1.0137814301097494,-0.06861645866940627,0.1666542323007744
liquidity_20d_change_positive_ge_5,Liquidity Intelligence v1,liquidity_20d_change_pct,ge,5.0,1D,9,9,1916,1819,-0.8135596203049353,-0.8080851690870694,33.33333333333333,0.0674342662570901,0.05318702351331291,-0.8809938865620254,-0.8667466438182482
liquidity_20d_change_positive_ge_5,Liquidity Intelligence v1,liquidity_20d_change_pct,ge,5.0,5D,9,9,1916,1819,1.6881130374059583,0.5941105092739818,55.55555555555556,0.320000473351726,0.2359880359976296,1.3681125640542322,1.4521250014083287
liquidity_20d_change_positive_ge_5,Liquidity Intelligence v1,liquidity_20d_change_pct,ge,5.0,20D,9,9,1916,1819,4.9890510404245205,2.939907135780384,77.77777777777779,1.2490521210799301,1.033997264481016,3.7399989193445906,3.9550537759435045
liquidity_20d_change_negative_le_5,Liquidity Intelligence v1,liquidity_20d_change_pct,le,-5.0,1D,13,13,1916,1851,-0.38816703293880717,-0.22238866412221947,46.15384615384615,0.0674342662570901,0.06878602781772943,-0.4556012991958973,-0.4569530607565366
liquidity_20d_change_negative_le_5,Liquidity Intelligence v1,liquidity_20d_change_pct,le,-5.0,5D,13,13,1916,1851,0.5351404533634396,0.6226185244078808,61.53846153846154,0.320000473351726,0.307380030751342,0.2151399800117137,0.22776042261209764
liquidity_20d_change_negative_le_5,Liquidity Intelligence v1,liquidity_20d_change_pct,le,-5.0,20D,13,13,1916,1851,0.6849681493562935,1.6115979737523878,61.53846153846154,1.2490521210799301,1.2227058528175512,-0.5640839717236366,-0.5377377034612577
