asof_date,universe_count,price_eligible_count,missing_price_count,coverage_pct,coverage_quality,advances,declines,unchanged,net_advances,advance_decline_ratio,pct_advancing,pct_declining,cumulative_ad_line,point_in_time_reconstructed,membership_source,membership_quality,cross_validated,pit_perfect,price_source,price_quality,price_pit_perfect,research_only,decision_engine_ready,trading_signal,forecast,record_id
2023-11-21,503,479,24,95.2286,GOOD,222,256,1,-34,0.867188,46.346555,53.444676,22068.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231121
2023-11-22,503,479,24,95.2286,GOOD,371,106,2,265,3.5,77.453027,22.129436,22333.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231122
2023-11-24,503,479,24,95.2286,GOOD,358,118,3,240,3.033898,74.73904,24.634656,22573.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231124
2023-11-27,503,479,24,95.2286,GOOD,169,306,4,-137,0.552288,35.281837,63.88309,22436.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231127
2023-11-28,503,479,24,95.2286,GOOD,217,258,4,-41,0.841085,45.302714,53.862213,22395.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231128
2023-11-29,503,479,24,95.2286,GOOD,267,210,2,57,1.271429,55.741127,43.841336,22452.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231129
2023-11-30,503,479,24,95.2286,GOOD,381,93,5,288,4.096774,79.54071,19.415449,22740.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231130
2023-12-01,503,479,24,95.2286,GOOD,417,62,0,355,6.725806,87.056367,12.943633,23095.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231201
2023-12-04,503,479,24,95.2286,GOOD,248,229,2,19,1.082969,51.77453,47.807933,23114.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231204
2023-12-05,503,479,24,95.2286,GOOD,88,389,2,-301,0.226221,18.371608,81.210856,22813.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231205
2023-12-06,503,479,24,95.2286,GOOD,265,210,4,55,1.261905,55.323591,43.841336,22868.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231206
2023-12-07,503,479,24,95.2286,GOOD,296,179,4,117,1.653631,61.795407,37.36952,22985.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231207
2023-12-08,503,479,24,95.2286,GOOD,280,195,4,85,1.435897,58.455115,40.709812,23070.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231208
2023-12-11,503,479,24,95.2286,GOOD,373,103,3,270,3.621359,77.870564,21.503132,23340.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231211
2023-12-12,503,479,24,95.2286,GOOD,290,186,3,104,1.55914,60.542797,38.830898,23444.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231212
