record_id,indicator,agency,release_date,reference_period,point_in_time_safe,quality_issues,historical_consensus_available
f25b398d98a5e11b,INITIAL_JOBLESS_CLAIMS,DOL,2021-12-09,"Week ending December 4, 2021",True,,False
07b3ca89f61d2829,CORE_CPI,BLS,2021-12-10,November 2021,True,,False
44d5d0ae11edab72,CPI,BLS,2021-12-10,November 2021,True,,False
4810eb627da9064c,INITIAL_JOBLESS_CLAIMS,DOL,2021-12-16,"Week ending December 11, 2021",True,,False
08c7a256d4f467e7,INITIAL_JOBLESS_CLAIMS,DOL,2021-12-23,"Week ending December 18, 2021",True,,False
26f801c1459edab1,INITIAL_JOBLESS_CLAIMS,DOL,2021-12-30,"Week ending December 25, 2021",True,,False
4194ad413142f035,NFP,BLS,2022-01-07,December 2021,True,,False
15edaa1003cb59b5,UNEMPLOYMENT_RATE,BLS,2022-01-07,December 2021,True,,False
630d350b8e550fe2,CORE_CPI,BLS,2022-01-12,December 2021,True,,False
a1428da659ada400,CPI,BLS,2022-01-12,December 2021,True,,False
e84e819e99a81ea3,GDP,BEA,2022-06-29,Q1 2022 — Third Estimate,True,,False
11fb629e9393159b,INITIAL_JOBLESS_CLAIMS,DOL,2022-07-07,"Week ending July 2, 2022",True,,False
0e281ef4d6b16344,INITIAL_JOBLESS_CLAIMS,DOL,2022-07-14,"Week ending July 9, 2022",True,,False
9b2d047313f20483,INITIAL_JOBLESS_CLAIMS,DOL,2022-07-21,"Week ending July 16, 2022",True,,False
8189f646e3ce43c3,INITIAL_JOBLESS_CLAIMS,DOL,2022-07-28,"Week ending July 23, 2022",True,,False
41d629cf795861e3,ISM_MANUFACTURING_PMI,ISM,2022-08-01,July 2022,True,,False
37b725441f6776eb,NFP,BLS,2022-08-05,July 2022,True,,False
4005c32d0a878610,UNEMPLOYMENT_RATE,BLS,2022-08-05,July 2022,True,,False
6ea3ca13eec99b61,CORE_CPI,BLS,2022-08-10,July 2022,True,,False
85d71bc9ab475dbc,CPI,BLS,2022-08-10,July 2022,True,,False
a9a3e9b6c5f5a209,INITIAL_JOBLESS_CLAIMS,DOL,2022-08-11,"Week ending August 6, 2022",True,,False
02d981c5740dc7a8,INITIAL_JOBLESS_CLAIMS,DOL,2022-08-18,"Week ending August 13, 2022",True,,False
68ff318d87b3fcef,INITIAL_JOBLESS_CLAIMS,DOL,2022-08-25,"Week ending August 20, 2022",True,,False
e96f52804dd151c0,INITIAL_JOBLESS_CLAIMS,DOL,2022-09-01,"Week ending August 27, 2022",True,,False
89e63fe57f7b0738,ISM_MANUFACTURING_PMI,ISM,2022-09-01,August 2022,True,,False
fdd7a0811a16da15,NFP,BLS,2022-09-02,August 2022,True,,False
1b207a52253aa204,UNEMPLOYMENT_RATE,BLS,2022-09-02,August 2022,True,,False
90404d090eec6956,INITIAL_JOBLESS_CLAIMS,DOL,2022-09-08,"Week ending September 3, 2022",True,,False
4c708f18bea37c34,INITIAL_JOBLESS_CLAIMS,DOL,2022-09-15,"Week ending September 10, 2022",True,,False
6127203cee3d57dc,INITIAL_JOBLESS_CLAIMS,DOL,2022-09-22,"Week ending September 17, 2022",True,,False
b9b88e508898745c,GDP,BEA,2022-09-29,Q2 2022 — Third Estimate,True,,False
900051fc8778512b,INITIAL_JOBLESS_CLAIMS,DOL,2022-09-29,"Week ending September 24, 2022",True,,False
5625c406ec124047,ISM_MANUFACTURING_PMI,ISM,2022-10-03,September 2022,True,,False
76bf1a82a7aa344a,CORE_CPI,BLS,2022-10-13,September 2022,True,,False
366a0c6424452ef6,CPI,BLS,2022-10-13,September 2022,True,,False
57983ce0b40745c1,GDP,BEA,2022-10-27,Q3 2022 — Advance Estimate,True,,False
06a27cfcb93ec312,ISM_MANUFACTURING_PMI,ISM,2022-11-01,October 2022,True,,False
12a46c6e133331b8,NFP,BLS,2022-11-04,October 2022,True,,False
89bcef227f48db17,UNEMPLOYMENT_RATE,BLS,2022-11-04,October 2022,True,,False
12450a462bdd5092,CORE_CPI,BLS,2022-11-10,October 2022,True,,False
3617b7d323c78b49,CPI,BLS,2022-11-10,October 2022,True,,False
283940969b3a547d,GDP,BEA,2022-11-30,Q3 2022 — Second Estimate,True,,False
9fa920c5913a3c22,ISM_MANUFACTURING_PMI,ISM,2022-12-01,November 2022,True,,False
468b3fdc267732ac,GDP,BEA,2022-12-22,Q3 2022 — Third Estimate,True,,False
0e5af4169f95f61c,ISM_MANUFACTURING_PMI,ISM,2023-01-04,December 2022,True,,False
88eba698dec0658d,CORE_CPI,BLS,2023-01-12,December 2022,True,,False
b283346c85569388,CPI,BLS,2023-01-12,December 2022,True,,False
84baec9a6f30def5,GDP,BEA,2023-01-26,Q4 2022 — Advance Estimate,True,,False
59f8b4f637953cbf,ISM_MANUFACTURING_PMI,ISM,2023-02-01,January 2023,True,,False
77777498964beeb3,NFP,BLS,2023-02-03,January 2023,True,,False
2163893b9c0a0673,UNEMPLOYMENT_RATE,BLS,2023-02-03,January 2023,True,,False
99d2e2b5f4d0f4b9,CORE_CPI,BLS,2023-02-14,January 2023,True,,False
d1f8c15c7a7687a9,CPI,BLS,2023-02-14,January 2023,True,,False
6fccd7ee8e2d03a3,GDP,BEA,2023-02-23,Q4 2022 — Second Estimate,True,,False
1a9e40451ff7aceb,ISM_MANUFACTURING_PMI,ISM,2023-03-01,February 2023,True,,False
82774b3c0055ae70,NFP,BLS,2023-03-10,February 2023,True,,False
924d19ffca443019,UNEMPLOYMENT_RATE,BLS,2023-03-10,February 2023,True,,False
6d39082d5a6999ef,CORE_CPI,BLS,2023-03-14,February 2023,True,,False
9e3f74a2313c226a,CPI,BLS,2023-03-14,February 2023,True,,False
0f6dbd18f7637298,GDP,BEA,2023-03-30,Q4 2022 — Third Estimate,True,,False
