study_date,event_name,source_layer,definition_column,operator,threshold,forward_return_1D_pct,forward_return_5D_pct,forward_return_20D_pct
2025-06-20,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.9606504133156335,3.4389324419234146,5.659673562788048
2025-08-04,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-0.48578659963033344,0.6873723022494227,1.352305052632663
2025-08-12,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.32300788824048965,-0.5335235827574336,1.338558627295261
2025-08-22,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-0.4266385548063467,-0.10283722000641315,3.5077005597606625
2025-09-19,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.44100464743330736,-0.31000228667991125,-0.005253282587258656
2025-09-30,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.3399920834961989,0.3906711405182284,3.02655883362537
2025-10-14,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.40260011595036893,1.3701955245864594,3.0447074700532095
2025-11-07,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,1.540101862170995,0.07891538978541668,1.7493455646503175
2025-11-26,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.5354773163420257,0.6533509888207778,1.7222486019254912
2026-04-08,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.6170023529293189,3.5404225482400964,8.585085732365005
2026-05-08,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.18799566475542484,0.12934064778817866,0.09190253896107503
2026-05-28,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.21722606785117282,0.27341601984312014,-2.7712866246610623
2026-06-09,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-1.6199450298948426,1.6881833708259686,2.1253238809272323
2026-08-03,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,1.789619360979544,2.0078924186731184,1.126769774603642
2019-01-03,sentiment_bearish,Sentiment Engine v1,sentiment_unified_sentiment_score,lt,40.0,3.4335714642623527,6.076662208173755,10.565840297920804
2019-01-23,sentiment_bearish,Sentiment Engine v1,sentiment_unified_sentiment_score,lt,40.0,0.1375725554363605,1.60496071701679,5.160872177988485
2019-05-17,sentiment_bearish,Sentiment Engine v1,sentiment_unified_sentiment_score,lt,40.0,-0.6749377915387988,-1.1704710340585178,1.0540155993933098
2019-08-12,sentiment_bearish,Sentiment Engine v1,sentiment_unified_sentiment_score,lt,40.0,1.5131688322181258,1.4205415709404035,3.3541451779240283
2019-08-26,sentiment_bearish,Sentiment Engine v1,sentiment_unified_sentiment_score,lt,40.0,-0.3203180635808267,0.9689526002210069,3.064926049912109
2019-10-04,sentiment_bearish,Sentiment Engine v1,sentiment_unified_sentiment_score,lt,40.0,-0.4478294673592398,0.6185619190049785,3.892259916587215
2020-02-04,sentiment_bearish,Sentiment Engine v1,sentiment_unified_sentiment_score,lt,40.0,1.125059589785371,1.8243599266717148,-5.078556346894247
2020-02-28,sentiment_bearish,Sentiment Engine v1,sentiment_unified_sentiment_score,lt,40.0,4.603922900611002,0.6143803326891462,-13.971539157314773
2020-06-12,sentiment_bearish,Sentiment Engine v1,sentiment_unified_sentiment_score,lt,40.0,0.8312217041285264,1.8554481638980658,3.7454225289362597
